new_id,hotel_name,overall_rating,total_n_reviews,hotel_class,rooms,location,service,5star,4star,3star,2star,1star
*138,Old Chicago Inn featuring Room 13,4.4,124,2-star hotel,2.9,4.8,5,72%,15%,3%,6%,4%
*139,W Chicago - Lakeshore,4.2,2985,4-star hotel,3,3.8,3.8,58%,26%,9%,3%,4%
*140,The Godfrey Hotel Chicago,4.2,2573,4-star hotel,3.5,4.2,3,59%,24%,8%,3%,6%
*141,Embassy Suites by Hilton Chicago O'Hare Rosemont,4.2,2352,3-star hotel,3.3,3.8,2.8,53%,29%,10%,4%,4%
*142,Hilton Rosemont/Chicago O'Hare,4.2,1983,4-star hotel,2.9,3.7,4.6,53%,30%,9%,3%,5%
*143,Renaissance Chicago O'Hare Suites Hotel,4.2,1910,4-star hotel,3.5,3.8,3.8,56%,28%,9%,3%,4%
*144,DoubleTree by Hilton Hotel Chicago - Alsip,4.2,1914,4-star hotel,3.5,4.6,3.8,54%,28%,10%,3%,5%
*145,Marriott Chicago O¡¯Hare,4.2,1853,3-star hotel,x,x,x,53%,31%,10%,2%,4%
*146,Freehand Chicago,4.2,1794,3-star hotel,2.5,5%,3.7,56%,26%,7%,4%,7%
*147,Hampton Inn & Suites Chicago-Downtown,4.2,1562,3-star hotel,3.9,4.4,4.1,54%,31%,9%,2%,4%
*148,The Gateway Inn of Oak Lawn,4.3,214,1-star hotel,3.2,4.8,5%,63%,23%,7%,1%,6%
*149,Hotel Audrey,4.2,1388,4-star hotel,3.7,4.5,4.3,56%,27%,8%,3%,6%
*150,Hotel Versey Days Inn by Wyndham Chicago,4.2,1385,3-star hotel,2.7,4.5,3.8,53%,28%,11%,3%,5%
*151,Sonesta Chicago O'Hare Airport,4.2,1271,3-star hotel,3.8,4.4,4.1,54%,31%,9%,2%,4%
*152,The River Hotel,4.2,1102,3-star hotel,3.2,4.5,3,53%,30%,10%,4%,3%
*153,Hyatt Rosemont,4.2,1037,3-star hotel,2.9,3.8,3.7,53%,33%,8%,3%,3%
*154,Chicago Marriott Midway,4.2,997,3-star hotel,3.2,3.8,3.2,54%,30%,8%,3%,5%
*155,The Ivy Hotel,4.2,882,4-star hotel,3.3,4,2.7,64%,17%,6%,4%,9%
*156,Ohio House Motel,4.2,826,2-star hotel,3.8,5%,4.6,51%,30%,12%,3%,4%
*157,"Holiday Inn Chicago North-Evanston, an IHG Hotel",4.2,807,3-star hotel,3.3,3.9,3.8,51%,31%,10%,3%,5%
*158,Hilton Garden Inn Chicago/Midway Airport,4.2,805,3-star hotel,3.2,4.3,3.8,53%,29%,11%,2%,5%
*159,Aloft Chicago Mag Mile,4.2,760,3-star hotel,2.9,4.4,3.8,58%,23%,8%,4%,7%
